📡  电信广电,#genre#
广东卫视高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.95:11111
广东卫视高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.96:11111
广东民生,http://qjrhc.jydjd.top:2911/udp/224.1.100.4:11111
广东新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.5:11111
经济科教,http://qjrhc.jydjd.top:2911/udp/224.1.100.6:11111
大湾区卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.7:11111
广东少儿,http://qjrhc.jydjd.top:2911/udp/224.1.100.9:11111
广东影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.11:11111
广东珠江高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.23:11111
广东珠江高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.24:11111
广东体育高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111
广东体育高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.34:11111
广州综合高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.35:11111
广州综合高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.36:11111
广州新闻高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.37:11111
广州新闻高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.38:11111
广州影视高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.87:11111
广州影视高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.88:11111
广州竞赛高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.105:11111
广州竞赛高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.106:11111
广州法治高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.17:11111
广州法治高清,http://qjrhc.jydjd.top:2911/udp/224.1.100.18:11111
高清翡翠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.121:11111
高清翡翠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.122:11111
高清明珠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.123:11111
高清明珠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.124:11111
凤凰中文台,http://qjrhc.jydjd.top:2911/udp/224.1.100.3:11111
澳亚卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.12:11111
星空卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.13:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.131:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.132:11111
广东卫视高清,http://119.32.12.31:2901/udp/224.1.100.95:11111
广东卫视高清,http://119.32.12.31:2901/udp/224.1.100.96:11111
广东民生,http://119.32.12.31:2901/udp/224.1.100.4:11111
广东新闻,http://119.32.12.31:2901/udp/224.1.100.5:11111
经济科教,http://119.32.12.31:2901/udp/224.1.100.6:11111
大湾区卫视,http://119.32.12.31:2901/udp/224.1.100.7:11111
广东少儿,http://119.32.12.31:2901/udp/224.1.100.9:11111
广东影视,http://119.32.12.31:2901/udp/224.1.100.11:11111
广东珠江高清,http://119.32.12.31:2901/udp/224.1.100.23:11111
广东珠江高清,http://119.32.12.31:2901/udp/224.1.100.24:11111
广东体育高清,http://119.32.12.31:2901/udp/224.1.100.33:11111
广东体育高清,http://119.32.12.31:2901/udp/224.1.100.34:11111
广州综合高清,http://119.32.12.31:2901/udp/224.1.100.35:11111
广州综合高清,http://119.32.12.31:2901/udp/224.1.100.36:11111
广州新闻高清,http://119.32.12.31:2901/udp/224.1.100.37:11111
广州新闻高清,http://119.32.12.31:2901/udp/224.1.100.38:11111
广州影视高清,http://119.32.12.31:2901/udp/224.1.100.87:11111
广州影视高清,http://119.32.12.31:2901/udp/224.1.100.88:11111
广州竞赛高清,http://119.32.12.31:2901/udp/224.1.100.105:11111
广州竞赛高清,http://119.32.12.31:2901/udp/224.1.100.106:11111
广州法治高清,http://119.32.12.31:2901/udp/224.1.100.17:11111
广州法治高清,http://119.32.12.31:2901/udp/224.1.100.18:11111
